name,opt,norm,pes
Контейнер для отображения модальных контроллеров с затемненым фоном.,3,4,10
Разобраться с текущим контейнером для экранов авторизации,"0,5",1,3
Экран авторизации,2,3,5
"Экран ""Забыли пароль""","0,5",1,2
Экран подтверждения Почты после регистрации,"0,75","1,5",2
Экран подтверждения СМС кода,1,2,6
Экран создания нового пароля,"0,5",1,2
Экран приветствия,"0,5",1,2
Экран “Необходимо подтверждение” ,"0,5",1,2
Экран регистрации,2,4,6
Экран регистрации через соц сеть,1,"1,5",2
Экран линковки номера телефона,"0,5",1,2
Экран линковки почты,"0,5",1,2
Экран ввода пароля для существующего адреса,"0,5",1,2
Экран подтверждения телефона из профиля,1,"1,5",2
Экран подтверждения почты из профиля,1,"1,5",2
Экран настроек,5,8,12
Экран оценить приложение,2,3,8
Экран настройки видимости на карте,"1,5",2,3
Экран редактирования профиля,2,3,5
Экран смены пароля,"0,5",1,2
Главный экран,12,16,20
Экран отсутствует подключение к интернету,2,3,4
Универсальный экран для списков,12,16,20
Экран поиска,6,8,16
Экран карты,4,6,10
Экран просмотра адреса,14,18,20
Основной экран создания / редактирования,13,16,18
Экран выбора категории,1,"1,5",2
"Экран ""Как добраться""",4,6,8
Экран Контакты,3,5,8
Экран Бронирование,1,2,4
Экран График события,"1,5","2,5",4
Экран время работы для адреса,3,6,8
Экран точного адреса,"1,5","2,5",4
Экран настроек языка,2,3,5
Экран изменения геопозиции,"0,75","1,5",3
Интеграция всех новых модулей.,1,2,6
"Удаление старых, более не используемых, модулей.",1,2,6
Новый вид отображения баннеров - уведомлений внутри приложения,2,4,6
Всплывающая при появление клавиатуры кнопка,"0,75","1,25",2
Перенос функционала диплинков,1,2,6
