Name	Duration
[video]Agile Days 2014	66:00
[HDD]Fain, Moiseev - TypeScript Quickly	5:13
[?]Стиллмен - Изучаем C#	11:20
[GD]Ариели - Предсказуемая иррациональность	9:30
[GD]Jackall - Moral Mazes	7:30
[GD]Пикетти - Капитал в 21 веке	10:00
[GD]Пинкер - Лучшее в нас	16:00
[samsung][fb2][new]DeGrandis - Making Work Visible: Exposing Time Theft to Optimize Work & Flow	3:26
[samsung][fb2][current]Clark - Rtfm: Red Team Field Manual	1:51
[fb2][old]de Bono - Lateral Thinking: A Textbook of Creativity	7:00
[fb2][old]Карнеги - Как перестать беспокоиться	10:00
[fb2][new]Parker - A Radical Enterprise: Pioneering the Future of High-Performing Organizations	4:00
[fb2][new]Шпитцер - Антимозг. Цифровые технологии и мозг	5:00
[fb2][new]Эспри - Биохакинг мозга	5:00
[fb2][new]Синек - Начни с вопроса "Почему"	5:00
[fb2][new]Weinberg - Perfect Software	5:00
[fb2][new]Сесно Франк - Как узнать все что нужно	6:00
[fb2][new]McDowell - Cracking the PM interview	6:00
[fb2][new]Taddy - Business Data Science	6:00
[fb2][new]Lehane - Masters of disaster	7:30
[fb2][new]Питерсон - 12 правил жизни. Противоядие от хаоса	8:00
[fb2][new]Rodgers - Why Aren't They Shouting	12:00
[fb2][new]Krugman - Arguing with Zombies	13:00
